author_id,full_name,affiliation
86,David Martínez,"University of Girona, Maria Aurèlia Capmany 61 (Edifici P4), 17003, Girona, Spain"
87,Hao Lu,"Northeastern University, Shenyang 110169, China"
88,Sam Prince Franklin S.,"Vellore Institute of Technology Chennai, Tamil Nadu, India"
89,M. Freire,"Institute of Computing, Federal University of Bahia (UFBA), Brazil"
90,Yingya Guo,"Fuzhou University, China"
91,Renpin Yao,"Guizhou University, China"
92,Bowen Li,"Wuhan University, Wuhan, China"
93,Xiaoming Liu,"Xi’an Jiaotong University, Xi’an, China "
94,Jianan Huang,"Nanjing University of Science and Technology, Nanjing, China"
95,Jinwen Liang,"Hong Kong Polytechnic University, Hung Hom, Hong Kong"
96,Xueluan Gong,"Nanyang Technological University, Singapore "
97,Zhili Zhou,"Guangzhou University, Guangzhou, China"
98,Raffaele Giannessi,"Evidence S.R.L., Pisa, Italy"
99,Ru Li,"Anhui University, Hefei, China"
100,Xiyue Zhang,"University of Bristol, Bristol, U.K."
101,Meng Tong,"University of Science and Technology of China, Hefei, China"
